Historical values  (CIPU day-ahead program) - Wind (MW);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dd;mm;;;yyyy;;;0:00  -> 0:15 ;0:15  -> 0:30 ;0:30  -> 0:45 ;0:45  -> 1:00 ;1:00  -> 1:15 ;1:15  -> 1:30 ;1:30  -> 1:45 ;1:45  -> 2:00 ;2:00  -> 2:15 ;2:15  -> 2:30 ;2:30  -> 2:45 ;2:45  -> 3:00 ;3:00  -> 3:15 ;3:15  -> 3:30 ;3:30  -> 3:45 ;3:45  -> 4:00 ;4:00  -> 4:15 ;4:15  -> 4:30 ;4:30  -> 4:45 ;4:45  -> 5:00 ;5:00  -> 5:15 ;5:15  -> 5:30 ;5:30  -> 5:45 ;5:45  -> 6:00 ;6:00  -> 6:15 ;6:15  -> 6:30 ;6:30  -> 6:45 ;6:45  -> 7:00 ;7:00  -> 7:15 ;7:15  -> 7:30 ;7:30  -> 7:45 ;7:45  -> 8:00 ;8:00  -> 8:15 ;8:15  -> 8:30 ;8:30  -> 8:45 ;8:45  -> 9:00 ;9:00  -> 9:15 ;9:15  -> 9:30 ;9:30  -> 9:45 ;9:45  -> 10:00;10:00 -> 10:15;10:15 -> 10:30;10:30 -> 10:45;10:45 -> 11:00;11:00 -> 11:15;11:15 -> 11:30;11:30 -> 11:45;11:45 -> 12:00;12:00 -> 12:15;12:15 -> 12:30;12:30 -> 12:45;12:45 -> 13:00;13:00 -> 13:15;13:15 -> 13:30;13:30 -> 13:45;13:45 -> 14:00;14:00 -> 14:15;14:15 -> 14:30;14:30 -> 14:45;14:45 -> 15:00;15:00 -> 15:15;15:15 -> 15:30;15:30 -> 15:45;15:45 -> 16:00;16:00 -> 16:15;16:15 -> 16:30;16:30 -> 16:45;16:45 -> 17:00;17:00 -> 17:15;17:15 -> 17:30;17:30 -> 17:45;17:45 -> 18:00;18:00 -> 18:15;18:15 -> 18:30;18:30 -> 18:45;18:45 -> 19:00;19:00 -> 19:15;19:15 -> 19:30;19:30 -> 19:45;19:45 -> 20:00;20:00 -> 20:15;20:15 -> 20:30;20:30 -> 20:45;20:45 -> 21:00;21:00 -> 21:15;21:15 -> 21:30;21:30 -> 21:45;21:45 -> 22:00;22:00 -> 22:15;22:15 -> 22:30;22:30 -> 22:45;22:45 -> 23:00;23:00 -> 23:15;23:15 -> 23:30;23:30 -> 23:45;23:45 -> 24:00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;11;;;2013;;453;453.1;452.8;452.4;450.7;449.9;448.6;447.3;446.9;445.6;444.3;442.9;438.6;437.7;437;436.1;426;425.6;425.2;424.7;416.5;414.9;413.7;412.2;410;408;406.8;405.6;400.9;398.4;396.2;394.6;375.6;375.3;375.6;376;364.8;364.7;363.9;362.8;353.5;353.4;353.4;353.6;346.9;348.2;349.7;350.7;340.1;339.5;338.4;337.4;328.8;328.6;328.9;329.9;339.9;341.5;342.9;344.7;357.5;360.3;362.4;364.3;369.9;372.4;374.2;375.9;401.8;404.3;406.5;408.5;427.2;428.8;429.8;430.6;441.9;441.4;440.6;439.5;439.9;438.1;436.4;434.5;428.7;426.8;424.8;422.6;407;405.3;403.9;402.3;419.8;418.4;417.1;415.8
2;;11;;;2013;;233.5;230.1;227.5;224.9;195.6;191.4;188;184.4;148.4;144.7;142;139.6;116;113.5;111.9;110.6;99.1;98.6;98.6;98.8;93.9;94.1;94.4;94.5;89.6;89.6;89.6;89.4;78;77.2;76.3;75.6;60.9;60.1;59.3;58.5;50.9;51;50.7;50.8;59;62.5;65.6;69.2;101;106.1;110.3;114.8;176.2;183.4;189.3;195.4;259.6;266.2;271.5;276.2;323.7;329.5;333.9;337.8;385.3;390.9;395.7;400.1;433.1;436.8;439.3;441.7;476.2;479.4;482.5;485.5;511;513.5;515.2;516.7;532.7;533.2;533.7;534.2;540.3;540.7;541.1;541.7;547.7;548;548.3;548.6;550.5;550.6;550.9;551.1;549.7;549.8;549.9;550.2
3;;11;;;2013;;552.3;552.4;552.3;552.4;555.3;555.5;555.5;555.5;556.4;556.5;556.5;556.4;556.3;556.3;556.4;556.4;558.5;558.6;558.4;558.4;563.1;563;563.1;563;564.4;563.5;562.5;561.9;561;560.3;560;559.8;560.7;560.3;559.9;559.4;559.6;559.4;559;558.8;560.1;560.3;560.6;560.7;562.9;562.9;563;563.1;561.6;561.8;561.7;561.6;560.9;561.1;561.4;561.6;560.9;561.2;561.3;561.4;561.7;561.7;561.8;562;560.5;560.4;560;559.8;563;563.3;563.7;564.2;561.3;561;560.4;559.6;547.9;546.2;544.5;542.9;528.9;527.5;526.2;524.6;510.6;507.6;504.7;502.2;500;500.8;502.5;504.9;513.9;517.6;521;524.4
4;;11;;;2013;;533.1;536.3;538.9;541.2;550.6;551.1;551.4;551.9;565.1;564.9;564.7;564.4;565.7;565.4;565.2;565;573.2;573.6;574;574.3;569.3;569.5;569.6;569.8;571;570.2;569.3;568.4;562;561.3;560.8;560.1;542.3;544.4;546.6;548.6;515;515.1;515.1;515.3;511.6;511.1;510.5;509.9;538.2;537.8;537.6;537.3;550.5;548.1;545.8;543.3;538.2;534.2;530.4;526.5;507.3;505.7;503.9;502.1;483;483.4;483.6;483.9;474.8;475.1;475.4;475.8;482.7;482.5;482.5;482.5;477;476.7;476.3;475.9;470.5;469.2;468;466.7;458.2;456.4;454.6;452.7;433.9;430.9;428.4;425.6;402.6;400;398;396.1;376.1;373.7;372.6;371.5
5;;11;;;2013;;293.6;292.8;292.6;292.5;282.4;282.6;283.1;283.5;276.6;276.4;276.3;276.3;271.7;271.6;271.5;271.7;291.2;290.8;290.3;290.1;321.5;321.4;320.9;320.4;347.8;345.8;343.7;342.2;384.1;386.7;389;392.4;444.2;450;454.1;457.9;475.7;481.6;485.9;489.2;500.5;505.5;509.5;513;507.7;510.8;513.9;517.2;509.9;512.8;515.5;518.4;524.5;525.4;526.5;527.4;548.2;548.6;548.8;549.1;557.8;557.7;557.5;557.1;558.2;557.8;557.4;557;567.7;567.2;566.5;565.8;565.8;565.5;565.1;564.7;560.5;560.6;560.6;560.7;554.5;554.7;554.6;554.7;549.5;549.5;549.4;549.3;544.9;544.6;544.4;544.1;539.8;539.6;539.3;539
6;;11;;;2013;;534;533.8;533.7;533.8;521.3;521.1;520.8;520.7;513.7;513.2;512.8;512.6;506.6;506.1;505.7;505.2;497.6;497.3;497;496.4;487.6;487.3;486.9;486.6;475.5;474.5;473.6;472.3;453.9;450.4;447;443.5;421.5;417.1;413.9;410.2;374;367.6;362.1;356.2;301.9;294.2;287.8;282.2;235.7;231.4;228.8;227;206.6;205.8;205.1;203.8;199.5;199;198.1;197.6;239.3;243.1;247.8;253.4;307.8;314.4;319.5;325.2;369.8;379.8;388.5;396.9;458.7;467.6;474.3;480;526.6;530.3;533.1;535.5;558.3;558.8;559;559.3;561.4;561.6;561.9;562.1;562.9;563;563.2;563.3;562;562.2;562.6;562.8;561.1;560.6;560.3;559.7
7;;11;;;2013;;578.6;578.7;579.4;579.6;572.6;571.4;570.5;568.9;562.7;559.3;557.4;555.5;553.7;550.3;548.9;547.6;535.4;529.1;524;519.2;465.1;456.6;449.3;442.4;350.9;344.8;339.1;333.8;269.4;266.3;263.8;261.1;242;239.7;237.7;235.6;216.2;214.9;213.3;211.8;198.9;197.6;196.4;195.1;184.2;183.3;182.2;181.3;160;160.3;160.2;160.1;146.7;146.9;146.5;145.8;137;135.8;134.4;132.8;123.8;122.1;120.6;119.3;110.3;109.5;109.1;108.9;110.5;110.2;109.7;109.5;112.7;112.8;113.1;113.2;113.8;114.4;114.8;115.1;118.6;119.3;119.8;120.4;122.7;122.8;123;123.1;119.2;118.9;118.9;118.9;111.8;111;110.1;109.3
8;;11;;;2013;;29.1;28.5;28.1;27.7;28.1;27.7;27.5;27.2;27.2;27.1;27;26.9;27.8;27.7;27.6;27.4;30.3;30.4;30.5;30.7;36.2;36.7;37;37.2;41.7;41.9;42.1;42.3;44.9;45.6;46.2;47;50.7;51.8;52.6;53.6;53.7;54.8;55.8;56.7;61.7;62.7;63.4;64.2;71;72;72.7;73.5;84.2;85.7;86.9;88.2;100.7;102.6;103.9;105.1;118.3;120.1;121.4;122.5;134.1;137;139.4;141.4;151.6;152.1;152.1;151.4;165.5;165.3;165.7;166.1;175.7;176.1;177;178.4;218.4;222.4;227;232;307.1;311.8;315.5;319.3;376.6;380.6;384.1;387.3;408.7;408.4;407.1;405.9;404;405.2;406.3;407.6
9;;11;;;2013;;539.4;543.7;547.8;552;550.5;551.9;553.2;554.8;553.4;553.5;553.7;553.8;544.4;543.5;542.8;541.9;539.7;538.6;537.6;536.6;533;531.8;530.7;529.4;516.1;514.8;513.7;512.5;491.6;489;486.6;484.1;442.4;436.8;432.2;427.7;382.1;376.8;372.4;368.3;352;350.7;350.1;349.7;361.4;361.3;361.4;361.6;374.9;374.3;374.2;373.8;378.7;376.3;374.1;371.8;381.5;379;377.6;376.3;381.4;380.3;379.7;378.7;353.5;354.9;356.4;358.1;309.8;312.1;315.4;318.5;296.6;298.3;300.1;301.9;289.5;286.2;282.6;280.3;290.6;292.1;293.5;295.5;321.3;323.6;322.8;321;323.4;323.4;322.7;321.2;298.8;297.4;296.7;295.3
