;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Historical values of Generated Energy - Wind (All values in MW);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dd;mm;;yyyy;;;00:15;00:30;00:45;01:00;01:15;01:30;01:45;02:00;02:15;02:30;02:45;03:00;03:15;03:30;03:45;04:00;04:15;04:30;04:45;05:00;05:15;05:30;05:45;06:00;06:15;06:30;06:45;07:00;07:15;07:30;07:45;08:00;08:15;08:30;08:45;09:00;09:15;09:30;09:45;10:00;10:15;10:30;10:45;11:00;11:15;11:30;11:45;12:00;12:15;12:30;12:45;13:00;13:15;13:30;13:45;14:00;14:15;14:30;14:45;15:00;15:15;15:30;15:45;16:00;16:15;16:30;16:45;17:00;17:15;17:30;17:45;18:00;18:15;18:30;18:45;19:00;19:15;19:30;19:45;20:00;20:15;20:30;20:45;21:00;21:15;21:30;21:45;22:00;22:15;22:30;22:45;23:00;23:15;23:30;23:45;00:00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;11;;2013;;461;419;425;432;450;448;443;424;418;429;431;428;422;432;445;457;441;402;405;401;410;411;397;395;401;388;400;394;413;398;404;397;404;406;440;463;451;436;430;431;439;455;426;377;370;369;336;313;341;319;312;323;334;360;400;340;315;321;346;385;364;331;374;411;411;375;364;333;343;381;355;387;363;341;355;353;324;330;323;295;270;255;269;265;273;296;304;286;279;271;241;230;225;223;201;180
2;;11;;2013;;165;177;192;193;199;221;269;248;216;170;121;98;98;107;114;108;94;81;71;67;56;46;44;40;39;37;32;30;54;58;78;66;39;25;21;15;20;20;17;20;31;46;60;76;94;101;110;106;121;138;161;193;239;278;281;324;419;395;354;293;310;331;370;381;455;503;498;513;521;520;511;510;525;534;540;552;556;550;564;565;566;559;564;560;559;558;550;532;513;522;528;502;474;456;467;497
3;;11;;2013;;515;537;542;545;545;540;537;529;528;531;537;530;529;527;529;525;532;537;541;533;529;513;503;501;523;509;503;512;496;514;518;533;523;531;527;521;525;541;537;510;515;512;507;500;495;511;528;522;489;491;511;531;531;546;528;544;526;524;545;558;548;560;565;546;529;532;528;544;547;527;537;546;558;563;568;562;549;541;539;531;542;541;522;510;507;514;497;539;545;555;547;532;524;536;533;527
4;;11;;2013;;520;518;532;547;553;556;557;556;557;560;559;564;564;566;567;564;562;562;564;564;564;559;552;496;469;469;415;329;353;355;414;435;460;509;544;540;571;573;575;576;577;575;570;565;555;550;539;526;528;545;520;540;496;510;519;517;526;519;483;464;439;403;380;385;422;418;411;408;420;435;433;438;435;436;422;436;439;427;424;403;384;387;386;383;379;357;355;372;354;349;344;321;271;259;229;220
5;;11;;2013;;218;198;186;187;207;232;245;233;196;166;155;173;210;202;176;167;176;155;148;182;229;272;304;326;362;390;428;428;466;498;482;459;375;376;458;473;521;529;540;530;529;531;539;537;538;533;542;546;549;542;548;532;528;530;535;518;523;517;500;468;438;402;407;419;466;523;520;527;544;550;549;541;536;538;539;544;559;567;569;570;566;558;557;560;563;565;561;555;540;518;516;514;514;503;493;494
6;;11;;2013;;511;526;527;519;520;512;512;511;496;486;473;451;457;466;477;483;484;491;494;495;486;471;441;445;427;411;401;395;414;409;396;386;391;395;387;400;404;376;382;382;393;403;358;331;290;261;222;197;183;172;146;123;104;106;128;129;121;120;123;121;117;115;120;117;110;111;117;103;103;153;340;456;532;545;542;544;533;541;541;551;544;544;545;543;538;541;542;541;544;546;540;542;535;525;534;546
7;;11;;2013;;553;543;541;539;535;540;545;541;538;537;533;537;542;539;538;545;547;490;495;380;335;273;219;200;192;173;153;138;168;177;190;168;142;126;117;108;104;104;104;100;108;112;117;115;106;95;86;88;85;63;47;27;35;29;22;22;26;24;32;44;48;47;51;61;62;49;49;50;56;62;52;53;42;29;29;25;24;28;36;39;35;50;51;47;44;52;45;38;30;32;36;36;31;30;35;37
8;;11;;2013;;36;46;61;57;57;53;53;53;55;50;53;56;69;66;66;46;42;34;22;27;35;35;34;36;36;46;56;60;57;86;95;93;88;97;96;100;100;96;107;90;81;71;72;67;60;67;81;75;76;87;77;55;60;78;74;65;67;89;93;87;89;89;80;90;97;95;84;72;72;71;60;41;31;50;36;37;34;52;55;70;94;138;164;197;258;369;415;310;300;435;496;546;565;564;561;565
9;;11;;2013;;570;568;561;553;545;536;530;524;514;509;509;503;513;523;513;519;511;502;511;514;504;519;517;500;494;466;441;439;405;374;350;333;339;338;351;350;346;319;315;333;365;336;377;353;411;448;464;471;468;442;420;462;482;468;438;243;148;136;121;88;78;81;85;133;154;154;236;309;400;376;249;144;151;135;120;122;145;184;231;212;237;250;272;282;284;269;284;248;245;242;229;243;184;159;125;123
